,ELF
% Below High,0.0066
% Held by Institutions,0.9565
52-Wk Range,['20.49 - 55.88']
Annual Dividend $,
Annual Dividend %,
Ask,63.5
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.6
Bid,55.35
Bid Size,400.0
Closing Price,55.51
Day Change $,0.59
Day Change %,0.010700000000000001
Day High,55.7
Day Low,54.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.63
Ex-dividend Date,No dividend
Historical Volatility,0.445
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,2.9B
"P/E Ratio (TTM, GAAP)",88.71
Prev Close,54.92
Shares Outstanding,52.9M
Short Interest,0.0433
Today's Open,54.75
Volume,175326.0
Volume 10-day Avg,645400.0
Volume Past Day,(Light)
