,ELF
Price/Earnings (TTM),88.7053
Price/Sales (TTM),6.55639
Price/Book (MRQ),8.22579
Price/Cash Flow (TTM),50.01182
5yr Low,6.71
5yr High,55.88
5yr Avg Return,0.3141333333333334
Short Int Current Month,2168501.0
Short Int Prev Month,2166875.0
Short Int Pct of Float,0.0433375
Days to Cover,2.36298
Float,50.06859
Shares Outstanding,52.93811
Institutions Holding Shares,298.0
% Held by Institutions,0.9564870000000001
FCF Growth 5yr,1.6700101062811639
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
