,MTX
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.09090909090909105
Growth 1yr High Est,0.07984031936127756
Growth 1yr Consensus Est,0.0853747051351843
Growth 2yr Low Est,0.06860269360269367
Growth 2yr High Est,0.0944488103275889
Growth 2yr Consensus Est,0.08152575196514128
Growth 5yr Low Est,0.08858364345206457
Growth 5yr High Est,0.10122495887365043
Growth 5yr Consensus Est,0.0949043011628575
Growth 5yr Actual/Est,0.08825854280088014
Growth 3yr Historic,0.05035194368900969
