,UPWK
% Above Low,0.0177
% Held by Institutions,0.7476999999999999
52-Wk Range,['11.29 - 38.87']
Annual Dividend $,
Annual Dividend %,
Ask,11.54
Ask Size,400.0
B/A Ratio,2.5
B/A Size,1000x400
Beta,1.4
Bid,11.3
Bid Size,1000.0
Closing Price,11.49
Day Change $,-0.3
Day Change %,-0.0254
Day High,11.98
Day Low,11.36
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.74
Ex-dividend Date,No dividend
Historical Volatility,0.757
Last (size),25.0
Last (time),4:00p ET 11/28/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,11.79
Shares Outstanding,131.3M
Short Interest,0.044000000000000004
Today's Open,11.75
Volume,1285346.0
Volume 10-day Avg,1798240.0
Volume Past Day,(Light)
