,ACEL
% Above Low,0.1229
% Held by Institutions,0.6748999999999999
52-Wk Range,['7.65 - 14.04']
Annual Dividend $,
Annual Dividend %,
Ask,10.98
Ask Size,5000.0
B/A Ratio,0.04
B/A Size,200x5000
Beta,1.2
Bid,3.45
Bid Size,200.0
Closing Price,8.59
Day Change $,-0.06
Day Change %,-0.0069
Day High,8.69
Day Low,8.56
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.73
Ex-dividend Date,No dividend
Historical Volatility,0.43100000000000005
Last (size),27.0
Last (time),5:00p ET 11/25/22
Market Cap,753.1M
"P/E Ratio (TTM, GAAP)",11.75
Prev Close,8.65
Shares Outstanding,87.5M
Short Interest,0.038599999999999995
Today's Open,8.61
Volume,53487.0
Volume 10-day Avg,205428.0
Volume Past Day,(Light)
