,ACEL
Price/Earnings (TTM),11.75456
Price/Sales (TTM),0.8499
Price/Book (MRQ),4.20613
Price/Cash Flow (TTM),6.84769
5yr Low,5.22
5yr High,15.11
5yr Avg Return,0.0058000000000000065
Short Int Current Month,2068552.0
Short Int Prev Month,2182111.0
Short Int Pct of Float,0.0385989
Days to Cover,9.54068
Float,53.59952
Shares Outstanding,87.46708
Institutions Holding Shares,158.0
% Held by Institutions,0.674942
FCF Growth 5yr,0.3035915653658216
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
