,ACEL
Next Earnings Announcement,2023-03-08 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.13888888888888884
Growth 1yr High Est,0.1499999999999999
Growth 1yr Consensus Est,0.14444444444444438
Growth 2yr Low Est,0.00846883468834686
Growth 2yr High Est,0.13478260869565217
Growth 2yr Consensus Est,0.07162572169199952
Growth 5yr Low Est,0.00846883468834686
Growth 5yr High Est,0.13478260869565217
Growth 5yr Consensus Est,0.07162572169199952
Growth 5yr Actual/Est,3.3029228243021347
Growth 3yr Historic,3.2380952380952377
