,BANR
Price/Earnings (TTM),12.95118
Price/Sales (TTM),4.06563
Price/Book (MRQ),1.7384
Price/Cash Flow (TTM),11.47312
5yr Low,27.12
5yr High,75.72
5yr Avg Return,0.04863333333333334
EPS Growth 5yr,0.17948260000000002
Revenue Growth 5yr,0.0586268
Dividend Growth 5yr,0.145917
Short Int Current Month,726874.0
Short Int Prev Month,773074.0
Short Int Pct of Float,0.0217186
Days to Cover,4.17583
Float,33.68215
Shares Outstanding,34.19043
Institutions Holding Shares,309.0
% Held by Institutions,0.867419
FCF Growth 5yr,0.25232538474547606
