,BANR
% Below High,0.0541
% Held by Institutions,0.8674
52-Wk Range,['52.35 - 75.72']
Annual Dividend $,1.76
Annual Dividend %,0.0246
Ask,75.0
Ask Size,2200.0
B/A Ratio,0.045454545454545456
B/A Size,100x2200
Beta,1.0
Bid,71.54
Bid Size,100.0
Closing Price,71.62
Day Change $,1.23
Day Change %,0.0175
Day High,71.63
Day Low,70.69
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",5.53
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.28600000000000003
Last (size),16.0
Last (time),12:59p ET 11/25/22
Market Cap,2.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.95
Prev Close,70.39
Shares Outstanding,34.2M
Short Interest,0.0217
Today's Open,70.69
Volume,70213.0
Volume 10-day Avg,138868.0
Volume Past Day,(Light)
