,LLY
% Below High,0.0123
% Held by Institutions,0.8312
52-Wk Range,['231.87 - 369.80']
Annual Dividend $,3.92
Annual Dividend %,0.010700000000000001
Ask,375.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.4
Bid,363.0
Bid Size,100.0
Change Since Close,0.18| |(0.05%)
Closing Price,365.25
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",6.65
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.29
Last (size),3.0
Last (time),5:00p ET 11/25/22
Last Trade,365.43
Market Cap,347.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",54.89
Prev Close,365.25
Shares Outstanding,950.2M
Short Interest,0.0059
Today's Open,
Volume,89.0
Volume 10-day Avg,3176973.0
Volume Past Day,(Light)
