,LLY
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.005235602094240788
Growth 1yr High Est,-0.025578562728380105
Growth 1yr Consensus Est,-0.010171480317069659
Growth 2yr Low Est,0.05274800938045365
Growth 2yr High Est,0.13408571863580993
Growth 2yr Consensus Est,0.09341686400813179
Growth 5yr Low Est,0.10854791773370509
Growth 5yr High Est,0.1649242152501084
Growth 5yr Consensus Est,0.13673606649190673
Growth 5yr Actual/Est,0.11900129288330419
Growth 3yr Historic,0.08547942259672803
