,LLY
Price/Earnings (TTM),54.89196
Price/Sales (TTM),11.8693
Price/Book (MRQ),34.46362
Price/Cash Flow (TTM),45.50672
5yr Low,73.69
5yr High,369.8
5yr Avg Return,0.29295000000000004
EPS Growth 5yr,0.1888346
Revenue Growth 5yr,0.0593905
Dividend Growth 5yr,0.10756629999999999
Short Int Current Month,5611848.0
Short Int Prev Month,6095880.0
Short Int Pct of Float,0.005918
Days to Cover,1.43235
Float,948.7462
Shares Outstanding,950.1779
Institutions Holding Shares,3088.0
% Held by Institutions,0.831206
FCF Growth 5yr,0.10263975284683473
