,YEXT
Price/Earnings (TTM),
Price/Sales (TTM),1.66892
Price/Book (MRQ),4.82157
Price/Cash Flow (TTM),
5yr Low,4.0
5yr High,27.19
5yr Avg Return,-0.10758333333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.2574026
Dividend Growth 5yr,
Short Int Current Month,3124255.0
Short Int Prev Month,4220908.0
Short Int Pct of Float,0.0317046
Days to Cover,2.85125
Float,110.1334
Shares Outstanding,123.4359
Institutions Holding Shares,203.0
% Held by Institutions,0.6658360000000001
FCF Growth 5yr,
