,AMGN
Price/Earnings (TTM),22.73272
Price/Sales (TTM),5.75001
Price/Book (MRQ),41.43862
Price/Cash Flow (TTM),14.85311
5yr Low,163.31
5yr High,296.67
5yr Avg Return,0.09494999999999999
EPS Growth 5yr,0.0008401
Revenue Growth 5yr,0.0247382
Dividend Growth 5yr,0.1197022
Short Int Current Month,10427893.0
Short Int Prev Month,11772512.0
Short Int Pct of Float,0.0195885
Days to Cover,3.12347
Float,532.4744
Shares Outstanding,533.5792
Institutions Holding Shares,2941.0
% Held by Institutions,0.7391549999999999
FCF Growth 5yr,0.2863297484291935
