,AMGN
% Below High,0.0436
% Held by Institutions,0.7392
52-Wk Range,['198.64 - 296.67']
Annual Dividend $,7.76
Annual Dividend %,0.0273
Ask,284.62
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,282.13
Bid Size,100.0
Closing Price,283.74
Day Change $,0.34
Day Change %,0.0012
Day High,285.57
Day Low,281.41
Dividend Pay Date,2022-12-08 00:00:00
"EPS (TTM, GAAP)",12.48
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.219
Last (size),8.0
Last (time),1:00p ET 11/25/22
Market Cap,151.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.73
Prev Close,283.4
Shares Outstanding,533.6M
Short Interest,0.0196
Today's Open,281.95
Volume,1220728.0
Volume 10-day Avg,2766330.0
Volume Past Day,(Light)
