,MOS
Price/Earnings (TTM),5.06112
Price/Sales (TTM),0.95357
Price/Book (MRQ),1.52189
Price/Cash Flow (TTM),3.91487
5yr Low,6.5
5yr High,79.28
5yr Avg Return,0.16328333333333334
EPS Growth 5yr,0.3822856
Revenue Growth 5yr,0.11524129999999999
Dividend Growth 5yr,-0.2421417
Short Int Current Month,8215804.0
Short Int Prev Month,8854832.0
Short Int Pct of Float,0.0242034
Days to Cover,1.67228
Float,339.5217
Shares Outstanding,340.481
Institutions Holding Shares,1112.0
% Held by Institutions,0.874798
FCF Growth 5yr,1.9135878879373143
