,MOS
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,1.314285714285714
Growth 1yr High Est,0.7506849315068493
Growth 1yr Consensus Est,1.0324853228962816
Growth 2yr Low Est,0.5495590828924162
Growth 2yr High Est,0.3428698522948957
Growth 2yr Consensus Est,0.4462144675936559
Growth 5yr Low Est,0.5495590828924162
Growth 5yr High Est,0.3428698522948957
Growth 5yr Consensus Est,0.44621446759365585
Growth 5yr Actual/Est,2.403134705095083
Growth 3yr Historic,2.1007739938080494
