,RVNC
% Below High,0.2643
% Held by Institutions,0.8648
52-Wk Range,['11.27 - 30.95']
Annual Dividend $,
Annual Dividend %,
Ask,22.82
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,0.5
Bid,22.77
Bid Size,200.0
Day Change $,-0.24
Day Change %,-0.0104
Day High,23.8
Day Low,22.75
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.92
Ex-dividend Date,No dividend
Historical Volatility,0.6709999999999999
Last (size),1.0
Last (time),1:25p ET 11/28/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,23.01
Price,22.77
Shares Outstanding,82.3M
Short Interest,0.12890000000000001
Today's Open,23.03
Volume Past Day,(Below Average)
