,RVNC
Price/Earnings (TTM),
Price/Sales (TTM),17.43296
Price/Book (MRQ),12.99418
Price/Cash Flow (TTM),
5yr Low,9.88
5yr High,37.45
5yr Avg Return,0.07578333333333333
EPS Growth 5yr,
Revenue Growth 5yr,2.039271
Dividend Growth 5yr,
Short Int Current Month,10242056.0
Short Int Prev Month,9562177.0
Short Int Pct of Float,0.1288845
Days to Cover,6.69225
Float,79.46691
Shares Outstanding,82.27358
Institutions Holding Shares,241.0
% Held by Institutions,0.8647880000000001
FCF Growth 5yr,0.17340574263299638
