,GGG
Price/Earnings (TTM),26.83174
Price/Sales (TTM),5.56089
Price/Book (MRQ),6.61748
Price/Cash Flow (TTM),22.87283
5yr Low,37.36
5yr High,81.09
5yr Avg Return,0.10036666666666666
EPS Growth 5yr,0.6031192999999999
Revenue Growth 5yr,0.0837822
Dividend Growth 5yr,0.11255559999999999
Short Int Current Month,2813050.0
Short Int Prev Month,3108567.0
Short Int Pct of Float,0.0168617
Days to Cover,2.28185
Float,166.9695
Shares Outstanding,168.529
Institutions Holding Shares,634.0
% Held by Institutions,0.883967
FCF Growth 5yr,-1.0925812895775546
