,IRBT
Price/Earnings (TTM),
Price/Sales (TTM),1.11459
Price/Book (MRQ),2.54124
Price/Cash Flow (TTM),
5yr Low,32.79
5yr High,197.4
5yr Avg Return,-0.0011999999999999982
EPS Growth 5yr,-0.061525699999999996
Revenue Growth 5yr,0.1882666
Dividend Growth 5yr,
Short Int Current Month,5934303.0
Short Int Prev Month,5587774.0
Short Int Pct of Float,0.2206939
Days to Cover,12.53984
Float,26.92149
Shares Outstanding,27.35144
Institutions Holding Shares,327.0
% Held by Institutions,1.020751
FCF Growth 5yr,0.5586471338523028
