,SWK
Price/Earnings (TTM),24.02969
Price/Sales (TTM),0.72177
Price/Book (MRQ),1.3769
Price/Cash Flow (TTM),10.86738
5yr Low,70.0
5yr High,225.0
5yr Avg Return,-0.047566666666666674
EPS Growth 5yr,0.0805043
Revenue Growth 5yr,0.0613967
Dividend Growth 5yr,0.056870000000000004
Short Int Current Month,5821185.0
Short Int Prev Month,7226127.0
Short Int Pct of Float,0.0395781
Days to Cover,2.8415
Float,147.1625
Shares Outstanding,147.9418
Institutions Holding Shares,1036.0
% Held by Institutions,0.89676
FCF Growth 5yr,-3.2963595092270217
