,SWK
% Above Low,0.1386
% Held by Institutions,0.8968
52-Wk Range,['70.24 - 196.52']
Annual Dividend $,3.2
Annual Dividend %,0.0385
Ask,79.98
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,79.94
Bid Size,200.0
Day Change $,-3.1
Day Change %,-0.0373
Day High,82.97
Day Low,79.67
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",3.46
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.435
Last (size),126.0
Last (time),3:45p ET 11/28/22
Market Cap,11.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.03
Prev Close,83.08
Price,79.98
Shares Outstanding,147.9M
Short Interest,0.039599999999999996
Today's Open,82.0
Volume Past Day,(Average)
