,ADI
Price/Earnings (TTM),31.70131
Price/Sales (TTM),7.08329
Price/Book (MRQ),2.33368
Price/Cash Flow (TTM),16.8643
5yr Low,76.62
5yr High,191.95
5yr Avg Return,0.12773333333333334
EPS Growth 5yr,0.18050239999999998
Revenue Growth 5yr,0.18022729999999998
Dividend Growth 5yr,0.1090641
Short Int Current Month,8279300.0
Short Int Prev Month,7267298.0
Short Int Pct of Float,0.0164092
Days to Cover,2.0687
Float,504.5573
Shares Outstanding,509.2959
Institutions Holding Shares,1755.0
% Held by Institutions,0.8580580000000001
FCF Growth 5yr,0.7849577943910341
