,ADI
% Below High,0.1121
% Held by Institutions,0.8581
52-Wk Range,['133.48 - 188.20']
Annual Dividend $,3.04
Annual Dividend %,0.0182
Ask,167.09
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,166.46
Bid Size,100.0
Closing Price,167.09
Day Change $,-2.11
Day Change %,-0.0125
Day High,169.5
Day Low,166.98
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",5.27
Ex-dividend,2022-12-02 00:00:00
Ex-dividend Date,12/02/22
Historical Volatility,0.36600000000000005
Last (size),4.0
Last (time),1:00p ET 11/25/22
Market Cap,85.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.7
Prev Close,169.2
Shares Outstanding,509.3M
Short Interest,0.016399999999999998
Today's Open,169.04
Volume,1698649.0
Volume 10-day Avg,4139564.0
Volume Past Day,(Light)
