,NVR
% Above Low,0.258
% Held by Institutions,0.8454999999999999
52-Wk Range,"['3,576.01 - 5,982.45']"
Annual Dividend $,
Annual Dividend %,
Ask,4550.0
Ask Size,10.0
B/A Ratio,10.0
B/A Size,100x10
Beta,0.9
Bid,4410.0
Bid Size,100.0
Change Since Close,-88.76| |(-1.97%)
Closing Price,4498.76
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",447.79
Ex-dividend Date,No dividend
Historical Volatility,0.364
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,4410.0
Market Cap,14.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.05
Prev Close,4498.76
Shares Outstanding,3.2M
Short Interest,0.025099999999999997
Today's Open,
Volume,2.0
Volume 10-day Avg,17796.0
Volume Past Day,(Light)
