,NVR
Price/Earnings (TTM),10.04661
Price/Sales (TTM),1.42679
Price/Book (MRQ),4.68418
Price/Cash Flow (TTM),8.8566
5yr Low,2040.71
5yr High,5982.45
5yr Avg Return,0.10549999999999998
EPS Growth 5yr,0.2533414
Revenue Growth 5yr,0.08982580000000001
Dividend Growth 5yr,
Short Int Current Month,75398.0
Short Int Prev Month,66549.0
Short Int Pct of Float,0.0251486
Days to Cover,3.92289
Float,2.9983
Shares Outstanding,3.19589
Institutions Holding Shares,780.0
% Held by Institutions,0.845533
FCF Growth 5yr,0.35398696969118754
