,CEG
Price/Earnings (TTM),
Price/Sales (TTM),1.40347
Price/Book (MRQ),2.94097
Price/Cash Flow (TTM),19.77166
5yr Low,38.0
5yr High,97.89
5yr Avg Return,1.5568
Short Int Current Month,5345473.0
Short Int Prev Month,4721178.0
Short Int Pct of Float,0.016384799999999998
Days to Cover,2.10763
Float,326.2454
Shares Outstanding,327.0179
Institutions Holding Shares,1046.0
% Held by Institutions,0.8223779999999999
FCF Growth 5yr,-1.6886615752906622
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
