,CEG
% Below High,0.0075
% Held by Institutions,0.8223999999999999
52-Wk Range,['38.00 - 97.89']
Annual Dividend $,0.564
Annual Dividend %,0.0058
Ask,98.5
Ask Size,700.0
B/A Ratio,5.714285714285714
B/A Size,4000x700
Beta,
Bid,94.5
Bid Size,4000.0
Closing Price,97.16
Day Change $,0.54
Day Change %,0.005600000000000001
Day High,97.45
Day Low,96.0
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",-0.46
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.48700000000000004
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,31.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,96.62
Shares Outstanding,327.0M
Short Interest,0.016399999999999998
Today's Open,96.6
Volume,631686.0
Volume 10-day Avg,2120542.0
Volume Past Day,(Light)
