,AM
Price/Earnings (TTM),16.52152
Price/Sales (TTM),5.91341
Price/Book (MRQ),2.39247
Price/Cash Flow (TTM),10.21211
5yr Low,1.69
5yr High,22.39
5yr Avg Return,-0.03674999999999999
EPS Growth 5yr,0.6761577
Revenue Growth 5yr,
Dividend Growth 5yr,
Short Int Current Month,9470200.0
Short Int Prev Month,11738996.0
Short Int Pct of Float,0.029461400000000002
Days to Cover,3.48654
Float,321.4952
Shares Outstanding,478.4846
Institutions Holding Shares,401.0
% Held by Institutions,0.534127
FCF Growth 5yr,0.2163961580906518
