,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2019,Negative Surprise,-0.8,,,,,,,0.26,-0.8,,
Year ending 12/2020,Negative Surprise,-0.26,,-0.675,,,,,-0.23,-0.26,-0.675,
Year ending 12/2021,Negative Surprise,0.69,,-3.6538461538461537,,,,,0.75,0.69,-3.6538461538461537,
Year ending 12/2022,Neutral,,0.71,0.0,0.65,,0.8,,0.71,0.71,0.02898550724637694,
Year ending 12/2023,Neutral,,0.79,0.0,0.65,0.0,0.94,0.17499999999999982,0.79,0.79,0.11267605633802824,0.08749999999999991
