,AM
% Below High,0.0437
% Held by Institutions,0.5341
52-Wk Range,['8.56 - 11.57']
Annual Dividend $,0.9
Annual Dividend %,0.0814
Ask,11.75
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,2.4
Bid,10.9
Bid Size,100.0
Closing Price,11.06
Day Change $,0.04
Day Change %,0.0036
Day High,11.14
Day Low,11.0
Dividend Pay Date,2022-11-09 00:00:00
"EPS (TTM, GAAP)",0.67
Ex-dividend,2022-10-25 00:00:00
Ex-dividend Date,10/25/22
Historical Volatility,0.36
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,5.3B
"P/E Ratio (TTM, GAAP)",16.52
Prev Close,11.02
Shares Outstanding,478.5M
Short Interest,0.029500000000000002
Today's Open,11.05
Volume,835261.0
Volume 10-day Avg,2679922.0
Volume Past Day,(Light)
