,ASAN
% Above Low,0.17800000000000002
% Held by Institutions,0.5628
52-Wk Range,['15.67 - 113.40']
Annual Dividend $,
Annual Dividend %,
Ask,18.6
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,18.46
Bid Size,200.0
Closing Price,18.46
Day Change $,-0.38
Day Change %,-0.0202
Day High,18.66
Day Low,17.92
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.97
Ex-dividend Date,No dividend
Historical Volatility,1.1440000000000001
Last (size),30.0
Last (time),5:00p ET 11/25/22
Market Cap,3.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,18.84
Shares Outstanding,211.0M
Short Interest,0.27390000000000003
Today's Open,18.63
Volume,1607220.0
Volume 10-day Avg,3501212.0
Volume Past Day,(Light)
