,ASAN
Price/Earnings (TTM),
Price/Sales (TTM),7.56668
Price/Book (MRQ),38.40759
Price/Cash Flow (TTM),
5yr Low,15.67
5yr High,145.79
5yr Avg Return,0.2755666666666667
Short Int Current Month,15027846.0
Short Int Prev Month,15384522.0
Short Int Pct of Float,0.2738536
Days to Cover,4.25825
Float,54.89061
Shares Outstanding,191.7608
Institutions Holding Shares,323.0
% Held by Institutions,0.562805
FCF Growth 5yr,0.27288823538525175
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
