,LIN
Price/Earnings (TTM),45.59125
Price/Sales (TTM),5.04322
Price/Book (MRQ),4.5252
Price/Cash Flow (TTM),20.81083
5yr Low,145.95
5yr High,352.18
5yr Avg Return,0.1804
EPS Growth 5yr,0.0703088
Revenue Growth 5yr,0.23928660000000002
Dividend Growth 5yr,0.07164
Short Int Current Month,3459216.0
Short Int Prev Month,3633644.0
Short Int Pct of Float,0.0070099
Days to Cover,1.67802
Float,493.479
Shares Outstanding,494.3795
Institutions Holding Shares,2219.0
% Held by Institutions,0.82592
FCF Growth 5yr,0.291989139627353
