,LIN
% Below High,0.022000000000000002
% Held by Institutions,0.8259000000000001
52-Wk Range,['262.47 - 352.18']
Annual Dividend $,4.68
Annual Dividend %,0.013600000000000001
Ask,345.26
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,0.9
Bid,345.03
Bid Size,400.0
Change Since Close,0.28| |(0.08%)
Closing Price,344.42
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",7.55
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.295
Last (size),200.0
Last (time),5:00p ET 11/25/22
Last Trade,344.7
Market Cap,170.3B
"P/E Ratio (TTM, GAAP)",45.59
Prev Close,344.42
Shares Outstanding,494.4M
Short Interest,0.006999999999999999
Today's Open,
Volume,532.0
Volume 10-day Avg,1479723.0
Volume Past Day,(Light)
