,RGR
Price/Earnings (TTM),9.03735
Price/Sales (TTM),1.56874
Price/Book (MRQ),2.41964
Price/Cash Flow (TTM),7.37096
5yr Low,38.44
5yr High,92.49
5yr Avg Return,0.015566666666666673
EPS Growth 5yr,0.1383969
Revenue Growth 5yr,0.019237999999999998
Dividend Growth 5yr,0.1258996
Short Int Current Month,870611.0
Short Int Prev Month,872499.0
Short Int Pct of Float,0.050627399999999996
Days to Cover,6.47468
Float,17.2416
Shares Outstanding,17.66653
Institutions Holding Shares,272.0
% Held by Institutions,0.6917369999999999
FCF Growth 5yr,0.3922950797609084
