,RGR
% Above Low,0.09640000000000001
% Held by Institutions,0.6917
52-Wk Range,['49.50 - 74.88']
Annual Dividend $,2.42
Annual Dividend %,0.0443
Ask,54.33
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.5
Bid,54.26
Bid Size,200.0
Day Change $,-0.31
Day Change %,-0.005699999999999999
Day High,55.24
Day Low,54.13
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",6.04
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.314
Last (size),1.0
Last (time),12:43p ET 11/28/22
Market Cap,959.6M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.04
Prev Close,54.58
Price,54.27
Shares Outstanding,17.7M
Short Interest,0.0506
Today's Open,54.76
Volume Past Day,(Light)
