,RGR
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.42991755005889287
Growth 1yr High Est,-0.4323699421965318
Growth 1yr Consensus Est,-0.43114374612771234
Growth 2yr Low Est,-0.3368596014757274
Growth 2yr High Est,-0.24367987944857145
Growth 2yr Consensus Est,-0.29026974046214943
Growth 5yr Low Est,-0.3368596014757274
Growth 5yr High Est,-0.24367987944857145
Growth 5yr Consensus Est,-0.29026974046214943
Growth 5yr Actual/Est,0.043723125396154784
Growth 3yr Historic,0.24165029469548135
