,PM
% Below High,0.13
% Held by Institutions,0.741
52-Wk Range,['82.85 - 112.48']
Annual Dividend $,5.08
Annual Dividend %,0.051699999999999996
Ask,97.89
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.7
Bid,97.87
Bid Size,100.0
Day Change $,-0.39
Day Change %,-0.004
Day High,98.11
Day Low,96.86
Dividend Pay Date,2022-10-12 00:00:00
"EPS (TTM, GAAP)",5.61
Ex-dividend,2022-09-27 00:00:00
Ex-dividend Date,09/27/22
Historical Volatility,0.251
Last (size),100.0
Last (time),11:07a ET 11/28/22
Market Cap,151.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.5
Prev Close,98.25
Price,97.86
Shares Outstanding,1.6B
Short Interest,0.0068000000000000005
Today's Open,97.32
Volume Past Day,(Light)
