,PM
Price/Earnings (TTM),17.50017
Price/Sales (TTM),4.80253
Price/Book (MRQ),
Price/Cash Flow (TTM),14.6379
5yr Low,56.01
5yr High,112.48
5yr Avg Return,0.015550000000000007
EPS Growth 5yr,0.0539671
Revenue Growth 5yr,0.0331094
Dividend Growth 5yr,0.0341691
Short Int Current Month,10516967.0
Short Int Prev Month,10213572.0
Short Int Pct of Float,0.006795799999999999
Days to Cover,2.50043
Float,1548.191
Shares Outstanding,1550.202
Institutions Holding Shares,2328.0
% Held by Institutions,0.740987
FCF Growth 5yr,1.1464759664379047
