,SANA
% Above Low,0.1822
% Held by Institutions,0.899
52-Wk Range,['3.93 - 19.69']
Annual Dividend $,
Annual Dividend %,
Ask,4.64
Ask Size,400.0
B/A Ratio,1.25
B/A Size,500x400
Beta,
Bid,4.63
Bid Size,500.0
Day Change $,-0.19
Day Change %,-0.0393
Day High,4.84
Day Low,4.64
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.61
Ex-dividend Date,No dividend
Historical Volatility,1.013
Last (size),6.0
Last (time),1:37p ET 11/28/22
Market Cap,888.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.83
Price,4.64
Shares Outstanding,190.7M
Short Interest,0.14730000000000001
Today's Open,4.78
Volume Past Day,(Light)
