,SBOW
% Above Low,0.7515999999999999
% Held by Institutions,0.9690000000000001
52-Wk Range,['19.00 - 49.91']
Annual Dividend $,
Annual Dividend %,
Ask,33.3
Ask Size,300.0
B/A Ratio,3.0
B/A Size,900x300
Beta,2.4
Bid,33.25
Bid Size,900.0
Day Change $,-2.41
Day Change %,-0.0675
Day High,34.02
Day Low,32.84
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",14.03
Ex-dividend Date,No dividend
Historical Volatility,0.731
Last (size),100.0
Last (time),1:42p ET 11/28/22
Market Cap,742.5M
"P/E Ratio (TTM, GAAP)",2.54
Prev Close,35.69
Price,33.28
Shares Outstanding,22.3M
Short Interest,0.058600000000000006
Today's Open,33.51
Volume Past Day,(Heavy Day)
