,SBOW
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.5110091743119265
Growth 2yr High Est,0.16896120150187732
Growth 2yr Consensus Est,0.3399851879069019
Growth 5yr Low Est,0.5110091743119265
Growth 5yr High Est,0.16896120150187732
Growth 5yr Consensus Est,0.3399851879069019
Growth 5yr Actual/Est,33.06695977536729
Growth 3yr Historic,-0.36004915320413944
