,SBOW
Price/Earnings (TTM),2.54449
Price/Sales (TTM),1.12814
Price/Book (MRQ),1.29053
Price/Cash Flow (TTM),2.02301
5yr Low,1.5
5yr High,49.91
5yr Avg Return,0.4499
EPS Growth 5yr,-0.3789263
Revenue Growth 5yr,0.19887619999999998
Dividend Growth 5yr,
Short Int Current Month,1112096.0
Short Int Prev Month,1395805.0
Short Int Pct of Float,0.058629
Days to Cover,3.35667
Float,21.59585
Shares Outstanding,22.30974
Institutions Holding Shares,155.0
% Held by Institutions,0.969039
FCF Growth 5yr,-3.1606830645594965
