,RFP
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.12650602409638556
Growth 1yr High Est,-0.15351506456241026
Growth 1yr Consensus Est,-0.1400105443293979
Growth 2yr Low Est,-0.39773577066888244
Growth 2yr High Est,-0.3801473627896797
Growth 2yr Consensus Est,-0.38894156672928104
Growth 5yr Low Est,4.110729344376773
Growth 5yr High Est,2.2124318786221413
Growth 5yr Consensus Est,3.1615806114994576
Growth 5yr Actual/Est,1.494098822324629
Growth 3yr Historic,1.6788461538461539
