,RFP
% Below High,0.0026
% Held by Institutions,0.9133
52-Wk Range,['11.00 - 21.22']
Annual Dividend $,
Annual Dividend %,
Ask,21.17
Ask Size,1700.0
B/A Ratio,1.0
B/A Size,1700x1700
Beta,2.7
Bid,21.16
Bid Size,1700.0
Day Change $,-0.015
Day Change %,-0.0007000000000000001
Day High,21.19
Day Low,21.09
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.43
Ex-dividend Date,No dividend
Historical Volatility,0.708
Last (size),100.0
Last (time),12:37p ET 11/28/22
Market Cap,1.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",3.9
Prev Close,21.18
Price,21.17
Shares Outstanding,76.8M
Short Interest,0.0317
Today's Open,21.09
Volume Past Day,(Light)
