,FULC
Price/Earnings (TTM),
Price/Sales (TTM),33.27598
Price/Book (MRQ),1.6103
Price/Cash Flow (TTM),
5yr Low,3.21
5yr High,33.1
5yr Avg Return,-0.065875
Short Int Current Month,3410070.0
Short Int Prev Month,3478179.0
Short Int Pct of Float,0.0696978
Days to Cover,8.14059
Float,48.86411
Shares Outstanding,52.05141
Institutions Holding Shares,148.0
% Held by Institutions,0.9387409999999999
FCF Growth 5yr,0.3712951611017163
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
