,FULC
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.03112840466926059
Growth 1yr High Est,-0.0357142857142857
Growth 1yr Consensus Est,-0.033421345191773144
Growth 2yr Low Est,-0.007532073820574192
Growth 2yr High Est,-0.17294973544973546
Growth 2yr Consensus Est,-0.09024090463515483
Growth 5yr Low Est,-0.0398645881219624
Growth 5yr High Est,-0.1875608958942292
Growth 5yr Consensus Est,-0.1137127420080958
Growth 5yr Actual/Est,-0.22754552647683132
Growth 3yr Historic,-0.2090095094499332
