,FULC
% Above Low,1.1340000000000001
% Held by Institutions,0.9387000000000001
52-Wk Range,['3.21 - 24.79']
Annual Dividend $,
Annual Dividend %,
Ask,6.99
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,2.0
Bid,6.8
Bid Size,200.0
Closing Price,6.85
Day Change $,0.01
Day Change %,0.0015
Day High,7.04
Day Low,6.68
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.56
Ex-dividend Date,No dividend
Historical Volatility,0.9920000000000001
Last (size),6.0
Last (time),1:00p ET 11/25/22
Market Cap,356.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,6.84
Shares Outstanding,52.1M
Short Interest,0.0697
Today's Open,6.85
Volume,149232.0
Volume 10-day Avg,369599.0
Volume Past Day,(Light)
