,W
% Above Low,0.14800000000000002
% Held by Institutions,1.1185
52-Wk Range,['28.11 - 273.64']
Annual Dividend $,
Annual Dividend %,
Ask,34.5
Ask Size,100.0
B/A Ratio,16.0
B/A Size,1600x100
Beta,2.9
Bid,32.31
Bid Size,1600.0
Closing Price,32.27
Day Change $,0.25
Day Change %,0.0078000000000000005
Day High,33.1
Day Low,31.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-11.22
Ex-dividend Date,No dividend
Historical Volatility,1.042
Last (size),100.0
Last (time),7:00p ET 11/28/22
Market Cap,3.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,32.02
Shares Outstanding,107.1M
Short Interest,0.3119
Today's Open,32.16
Volume,3438822.0
Volume 10-day Avg,4686517.0
Volume Past Day,(Light)
