,SANM
Price/Earnings (TTM),16.27941
Price/Sales (TTM),0.48445
Price/Book (MRQ),2.05244
Price/Cash Flow (TTM),10.47542
5yr Low,18.34
5yr High,69.28
5yr Avg Return,0.15564999999999998
EPS Growth 5yr,0.1795676
Revenue Growth 5yr,0.028127
Dividend Growth 5yr,
Short Int Current Month,1220433.0
Short Int Prev Month,1355045.0
Short Int Pct of Float,0.0218073
Days to Cover,2.59717
Float,55.94788
Shares Outstanding,57.42972
Institutions Holding Shares,382.0
% Held by Institutions,0.94536
FCF Growth 5yr,0.697460601020628
