,SANM
% Below High,0.0492
% Held by Institutions,0.9454
52-Wk Range,['35.36 - 69.28']
Annual Dividend $,
Annual Dividend %,
Ask,65.87
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,65.82
Bid Size,200.0
Day Change $,-0.69
Day Change %,-0.0104
Day High,66.04
Day Low,65.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.09
Ex-dividend Date,No dividend
Historical Volatility,0.34600000000000003
Last (size),100.0
Last (time),1:37p ET 11/28/22
Market Cap,3.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.28
Prev Close,66.56
Price,65.87
Shares Outstanding,57.4M
Short Interest,0.0218
Today's Open,65.84
Volume Past Day,(Light)
