,AXS
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,1.096774193548387
Growth 1yr High Est,1.1923076923076925
Growth 1yr Consensus Est,1.1445409429280398
Growth 2yr Low Est,0.7070409429280397
Growth 2yr High Est,0.7935222672064778
Growth 2yr Consensus Est,0.7502816050672587
Growth 5yr Low Est,0.3535204714640198
Growth 5yr High Est,0.3967611336032389
Growth 5yr Consensus Est,0.37514080253362936
Growth 5yr Actual/Est,-1.220758155162721
Growth 3yr Historic,-1.321733821733822
