,AXS
% Below High,0.0717
% Held by Institutions,0.9472
52-Wk Range,['48.32 - 61.39']
Annual Dividend $,1.72
Annual Dividend %,0.0302
Ask,57.32
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,0.8
Bid,46.0
Bid Size,500.0
Closing Price,56.99
Day Change $,0.48
Day Change %,0.0085
Day High,57.3
Day Low,56.19
Dividend Pay Date,2022-10-18 00:00:00
"EPS (TTM, GAAP)",4.09
Ex-dividend,2022-09-30 00:00:00
Ex-dividend Date,09/30/22
Historical Volatility,0.29
Last (size),110.0
Last (time),5:00p ET 11/25/22
Market Cap,4.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.94
Prev Close,56.51
Shares Outstanding,84.7M
Short Interest,0.0085
Today's Open,56.45
Volume,170463.0
Volume 10-day Avg,481941.0
Volume Past Day,(Light)
