,AXS
Price/Earnings (TTM),13.94108
Price/Sales (TTM),0.94645
Price/Book (MRQ),1.27197
Price/Cash Flow (TTM),11.61401
5yr Low,31.82
5yr High,67.51
5yr Avg Return,0.019033333333333333
EPS Growth 5yr,0.06291820000000001
Revenue Growth 5yr,0.0570838
Dividend Growth 5yr,0.0327487
Short Int Current Month,655508.0
Short Int Prev Month,762324.0
Short Int Pct of Float,0.008526899999999999
Days to Cover,1.58999
Float,76.9458
Shares Outstanding,84.6669
Institutions Holding Shares,377.0
% Held by Institutions,0.947167
FCF Growth 5yr,0.983243761944026
