,IOSP
% Below High,0.0385
% Held by Institutions,0.9803000000000001
52-Wk Range,['81.00 - 115.66']
Annual Dividend $,1.28
Annual Dividend %,0.0115
Ask,179.08
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,44.78
Bid Size,200.0
Closing Price,111.2
Day Change $,-0.6
Day Change %,-0.0054
Day High,112.7
Day Low,111.1
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",5.27
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.29600000000000004
Last (size),12.0
Last (time),1:00p ET 11/25/22
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.1
Prev Close,111.8
Shares Outstanding,24.8M
Short Interest,0.01
Today's Open,111.1
Volume,24969.0
Volume 10-day Avg,72742.0
Volume Past Day,(Light)
