,XYL
Price/Earnings (TTM),64.41105
Price/Sales (TTM),3.83127
Price/Book (MRQ),6.36165
Price/Cash Flow (TTM),36.92264
5yr Low,54.62
5yr High,138.78
5yr Avg Return,0.09171666666666667
EPS Growth 5yr,0.1024793
Revenue Growth 5yr,0.0661684
Dividend Growth 5yr,0.1256965
Short Int Current Month,3849887.0
Short Int Prev Month,3996020.0
Short Int Pct of Float,0.021539199999999998
Days to Cover,3.67735
Float,178.7535
Shares Outstanding,180.2215
Institutions Holding Shares,1115.0
% Held by Institutions,0.8909520000000001
FCF Growth 5yr,-1.4248011248011248
