,XYL
% Below High,0.1258
% Held by Institutions,0.8909999999999999
52-Wk Range,['72.08 - 125.38']
Annual Dividend $,1.2
Annual Dividend %,0.0106
Ask,119.4
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.1
Bid,61.7
Bid Size,100.0
Closing Price,109.61
Day Change $,-3.89
Day Change %,-0.034300000000000004
Day High,112.68
Day Low,108.81
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",1.76
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.35200000000000004
Last (size),535.0
Last (time),7:00p ET 11/28/22
Market Cap,19.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",64.41
Prev Close,113.5
Shares Outstanding,180.2M
Short Interest,0.0215
Today's Open,112.46
Volume,1184873.0
Volume 10-day Avg,742090.0
Volume Past Day,(Heavy Day)
