,XYL
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.1161825726141077
Growth 1yr High Est,0.10000000000000009
Growth 1yr Consensus Est,0.10809128630705389
Growth 2yr Low Est,0.11571210415092004
Growth 2yr High Est,0.1681818181818182
Growth 2yr Consensus Est,0.14194696116636912
Growth 5yr Low Est,0.008689385408793354
Growth 5yr High Est,0.0403615361536154
Growth 5yr Consensus Est,0.024525460781204378
Growth 5yr Actual/Est,0.03539302666163449
Growth 3yr Historic,-0.02728573265607917
