,RPAY
Price/Earnings (TTM),
Price/Sales (TTM),3.16308
Price/Book (MRQ),0.82436
Price/Cash Flow (TTM),8.40368
5yr Low,4.37
5yr High,28.42
5yr Avg Return,0.0928
Short Int Current Month,4487939.0
Short Int Prev Month,4407069.0
Short Int Pct of Float,0.058486
Days to Cover,1.91274
Float,84.39996
Shares Outstanding,98.56481
Institutions Holding Shares,207.0
% Held by Institutions,0.867803
FCF Growth 5yr,0.30848217811910655
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
