,RPAY
% Above Low,0.8946
% Held by Institutions,0.8678
52-Wk Range,['4.37 - 19.71']
Annual Dividend $,
Annual Dividend %,
Ask,8.28
Ask Size,700.0
B/A Ratio,0.5714285714285714
B/A Size,400x700
Beta,0.9
Bid,8.25
Bid Size,400.0
Day Change $,-0.02
Day Change %,-0.0024
Day High,8.31
Day Low,8.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.13
Ex-dividend Date,No dividend
Historical Volatility,0.773
Last (size),100.0
Last (time),1:13p ET 11/28/22
Market Cap,745.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,8.29
Price,8.27
Shares Outstanding,90.7M
Short Interest,0.058499999999999996
Today's Open,8.17
Volume Past Day,(Light)
