,KMB
% Below High,0.0738
% Held by Institutions,0.7413
52-Wk Range,['108.74 - 145.79']
Annual Dividend $,4.64
Annual Dividend %,0.0344
Ask,136.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.4
Bid,132.0
Bid Size,100.0
Closing Price,135.03
Day Change $,1.03
Day Change %,0.0077
Day High,135.03
Day Low,134.0
Dividend Pay Date,2023-01-04 00:00:00
"EPS (TTM, GAAP)",5.27
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.223
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,45.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.63
Prev Close,134.0
Shares Outstanding,337.5M
Short Interest,0.02
Today's Open,134.22
Volume,540494.0
Volume 10-day Avg,1354741.0
Volume Past Day,(Light)
