,KMB
Price/Earnings (TTM),25.6292
Price/Sales (TTM),2.2587
Price/Book (MRQ),104.2852
Price/Cash Flow (TTM),18.39046
5yr Low,97.1
5yr High,160.16
5yr Avg Return,0.03145
EPS Growth 5yr,-0.0221399
Revenue Growth 5yr,0.0123035
Dividend Growth 5yr,0.0428672
Short Int Current Month,6735454.0
Short Int Prev Month,6750017.0
Short Int Pct of Float,0.0199938
Days to Cover,4.304
Float,336.9371
Shares Outstanding,337.4921
Institutions Holding Shares,1970.0
% Held by Institutions,0.741304
FCF Growth 5yr,-3.4864307078625854
